,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,C2,X RArm,Y RArm,Z RArm,WX RArm,WY RArm,WZ RArm,X RLeg,Y RLeg,Z RLeg,WX RLeg,WY RLeg,WZ RLeg,X LLeg,Y LLeg,Z LLeg,WX LLeg,WY LLeg,WZ LLeg,X LArm,Y LArm,Z LArm,WX LArm,WY LArm,WZ LArm,X Torso,Y Torso,Z Torso,WX Torso,WY Torso,WZ Torso,X Head,Y Head,Z Head,WX Head,WY Head,WZ Head
,,0.047038909,-0.127426222,0.2230110615,1.3521311283,1.0959891081,0.0409451649,-0.0028348006,-0.0679276437,-0.0040291511,0.0646268204,-0.0029625883,-0.1302717477,-0.0060002739,0.0677214637,-4.4703483581543E-008,7.09735468262806E-005,9.02850588317961E-005,0.1300800741,0.0478226468,0.1112042442,0.2296867967,-1.0237945318,1.0801851749,0.0510385707,-0.0116641866,-0.010502534,0.3295806646,0.0302390102,-0.0064865099,-0.001033328,-0.0124955261,-0.0143217389,0.4560208917,0.0308260415,-0.1856248379,-0.0173130557
,,0.0478921086,-0.1271429956,0.2232315838,1.3589537144,1.0925316811,0.0428397357,-0.002838908,-0.0679266378,-0.0040279478,0.0646200702,-0.0029517426,-0.1302752942,-0.0059963688,0.0677209646,1.49011611938477E-008,5.67908682569396E-005,0.0001077327,0.1300843209,0.04828142,0.1111461967,0.2298114002,-1.0270180702,1.078302145,0.0505570322,-0.0116720479,-0.0104971584,0.3295817971,0.0302213114,-0.0065477807,-0.0010356979,-0.0125039164,-0.0143187102,0.4560213089,0.0308193117,-0.1856576949,-0.0173130948
,,0.0484601706,-0.1269771308,0.2233816087,1.3625947237,1.0901317596,0.0439625047,-0.0028486012,-0.0679242387,-0.004027009,0.0646177083,-0.0029266409,-0.1302836984,-0.0059871138,0.0677198023,8.5681676864624E-008,3.6344430554891E-005,0.0001447552,0.1300943941,0.0494769663,0.110988006,0.2301421165,-1.03441751,1.0732679367,0.0491997153,-0.0116770752,-0.0104960259,0.3295819461,0.0302170347,-0.0065848473,-0.0010372478,-0.0125247091,-0.014316516,0.4560213685,0.0308143795,-0.1857364029,-0.0173154045
,,0.0498972461,-0.126585722,0.2237716913,1.3704086542,1.0838775635,0.046632573,-0.002854161,-0.067922838,-0.0040271208,0.0646212548,-0.0029130592,-0.1302886307,-0.0059760427,0.0677183717,1.34110450744629E-007,2.32626734941732E-005,0.0001831467,0.1301064044,0.0510651842,0.1107596755,0.2305938751,-1.0432311296,1.066411972,0.0471768677,-0.0116895912,-0.0104961526,0.3295816481,0.0302154012,-0.0066725682,-0.0010406682,-0.0125512639,-0.0143182147,0.4560206234,0.03081825,-0.1858332753,-0.0173199661
,,0.0528323054,-0.1258226186,0.2246122658,1.3835924864,1.070653677,0.0518349484,-0.0028736265,-0.0679179579,-0.0040292256,0.0646466538,-0.0028711921,-0.1303058118,-0.0059632128,0.0677166507,1.45286321640015E-007,1.48805684148101E-005,0.000221694,0.1301200986,0.0530607328,0.1104474813,0.2311808765,-1.0535624027,1.0576303005,0.0443804562,-0.0117150359,-0.0105008222,0.3295799196,0.0302258842,-0.0068388651,-0.0010473005,-0.0125837531,-0.0143229105,0.4560191631,0.0308287907,-0.185948655,-0.0173264127
,,0.0540202335,-0.1255159676,0.2249684036,1.3883897066,1.0651925802,0.0539020076,-0.0028810073,-0.0679161176,-0.0040303655,0.06465929,-0.0028573165,-0.1303124577,-0.0059487363,0.0677147508,1.71363353729248E-007,9.52415848587407E-006,0.0002596107,0.1301353127,0.0554665811,0.1100416556,0.2319176644,-1.0654376745,1.0468722582,0.0407709852,-0.011725354,-0.0105033051,0.3295790851,0.0302320104,-0.0069035236,-0.0010498045,-0.0126022575,-0.0143261496,0.4560182691,0.0308360904,-0.1860131919,-0.0173302256
,,0.0567048118,-0.1248193607,0.2258059978,1.3985657692,1.052688241,0.0585185662,-0.0028969888,-0.0679120794,-0.0040332191,0.0646897927,-0.0028303892,-0.1303268224,-0.0059408979,0.0677137077,2.04890966415405E-007,7.62294985179324E-006,0.0002781696,0.1301435381,0.0582758226,0.1095362231,0.2328187376,-1.0788125992,1.0341328382,0.0363718159,-0.01174872,-0.010509342,0.3295770586,0.030247394,-0.0070463782,-0.0010553192,-0.0126437098,-0.0143341087,0.4560160637,0.0308541115,-0.1861557811,-0.017338967
,,0.0581975505,-0.1244286895,0.2262912244,1.4039264917,1.0456541777,0.0610522889,-0.0029055686,-0.0679098889,-0.004034929,0.0647074133,-0.0028174308,-0.130334571,-0.0059240842,0.0677115023,1.71363353729248E-007,4.87734359921888E-006,0.0003142329,0.1301610768,0.0598272234,0.1092453748,0.2333355099,-1.0860327482,1.0270289183,0.0338979289,-0.0117617836,-0.0105128661,0.3295758963,0.0302564595,-0.0071244212,-0.0010583522,-0.0126666529,-0.014338769,0.4560147822,0.0308646262,-0.1862336546,-0.0173438825
,,0.0612785518,-0.1236046702,0.227339834,1.4146162271,1.0309755802,0.0664535239,-0.0029239361,-0.0679052919,-0.0040386878,0.0647469088,-0.0027927363,-0.1303513348,-0.0059151254,0.0677103028,2.04890966415405E-007,3.89251090382459E-006,0.0003316697,0.1301703453,0.0614731759,0.10892912,0.2338989079,-1.0935856104,1.0194445848,0.0312583484,-0.0117757227,-0.010516692,0.3295746446,0.0302663427,-0.0072067548,-0.0010615417,-0.0127167627,-0.0143492036,0.456011951,0.0308882985,-0.1864021868,-0.0173546728
,,0.0629642904,-0.1231580973,0.2279379964,1.420127511,1.0228822231,0.0692406446,-0.002943723,-0.0679002702,-0.0040430389,0.0647915676,-0.002769802,-0.130369395,-0.0058961348,0.0677078217,1.41561031341553E-007,0.000002508,0.0003653165,0.1301898211,0.0669474304,0.1078322977,0.2358869761,-1.1180399656,0.9939011335,0.0225066822,-0.0118226493,-0.0105296392,0.3295703828,0.0303002857,-0.0074785221,-0.001071975,-0.0127723468,-0.014361022,0.4560087919,0.030915089,-0.1865870059,-0.0173665453
