,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,C2,X RArm,Y RArm,Z RArm,WX RArm,WY RArm,WZ RArm,X RLeg,Y RLeg,Z RLeg,WX RLeg,WY RLeg,WZ RLeg,X LLeg,Y LLeg,Z LLeg,WX LLeg,WY LLeg,WZ LLeg,X LArm,Y LArm,Z LArm,WX LArm,WY LArm,WZ LArm,X Torso,Y Torso,Z Torso,WX Torso,WY Torso,WZ Torso,X Head,Y Head,Z Head,WX Head,WY Head,WZ Head
,,0.0588159636,-0.1282876581,0.2260911763,0.0588159636,-0.1282876581,0.2260911763,-0.0035413716,-0.0678235143,-0.0040952861,-0.0035413716,-0.0678235143,-0.0040952861,-0.0055828104,0.0676860586,-2.7194619178772E-006,-0.0055828104,0.0676860586,-2.7194619178772E-006,0.059152402,0.1094684899,0.232833162,0.059152402,0.1094684899,0.232833162,-0.0107071884,-0.0105611756,0.3295812011,-0.0107071884,-0.0105611756,0.3295812011,-0.0110318232,-0.0143941194,0.4560226798,-0.0110318232,-0.0143941194,0.4560226798
,,0.0583451353,-0.128225565,0.2259629369,0.0583451353,-0.128225565,0.2259629369,-0.0034567784,-0.0678363964,-0.0040877722,-0.0034567784,-0.0678363964,-0.0040877722,-0.00563356,0.0676903874,-2.7678906917572E-006,-0.00563356,0.0676903874,-2.7678906917572E-006,0.0582597554,0.1094252169,0.2325689495,0.0582597554,0.1094252169,0.2325689495,-0.0107904933,-0.0105520599,0.3295818269,-0.0107904933,-0.0105520599,0.3295818269,-0.0111626983,-0.0143832583,0.456023246,-0.0111626983,-0.0143832583,0.456023246
,,0.0573728345,-0.1281050891,0.2257006466,0.0573728345,-0.1281050891,0.2257006466,-0.0033727875,-0.0678491443,-0.0040801801,-0.0033727875,-0.0678491443,-0.0040801801,-0.0056839548,0.0676947087,-0.000002794,-0.0056839548,0.0676947087,-0.000002794,0.0578003451,0.1094089225,0.2324341536,0.0578003451,0.1094089225,0.2324341536,-0.0108330734,-0.0105474927,0.3295821249,-0.0108330734,-0.0105474927,0.3295821249,-0.0112293512,-0.0143778026,0.4560235143,-0.0112293512,-0.0143778026,0.4560235143
,,0.0563708767,-0.1279903054,0.2254336029,0.0563708767,-0.1279903054,0.2254336029,-0.0033314005,-0.0678553954,-0.0040762983,-0.0033314005,-0.0678553954,-0.0040762983,-0.0057087992,0.0676968619,-2.83494591712952E-006,-0.0057087992,0.0676968619,-2.83494591712952E-006,0.0573341064,0.1093965545,0.2322981358,0.0573341064,0.1093965545,0.2322981358,-0.0108761005,-0.0105429217,0.329582423,-0.0108761005,-0.0105429217,0.329582423,-0.0112965312,-0.0143723339,0.4560237527,-0.0112965312,-0.0143723339,0.4560237527
,,0.0558631159,-0.1279353052,0.2252995521,0.0558631159,-0.1279353052,0.2252995521,-0.003290541,-0.0678615719,-0.0040724985,-0.003290541,-0.0678615719,-0.0040724985,-0.0057332814,0.0676989555,-2.82377004623413E-006,-0.0057332814,0.0676989555,-2.82377004623413E-006,0.0568624847,0.1093881652,0.232161358,0.0568624847,0.1093881652,0.232161358,-0.010962788,-0.0105339028,0.329583019,-0.010962788,-0.0105339028,0.329583019,-0.0114314184,-0.0143615082,0.4560242295,-0.0114314184,-0.0143615082,0.4560242295
,,0.0553531349,-0.1278819293,0.2251657546,0.0553531349,-0.1278819293,0.2251657546,-0.0032504266,-0.0678675771,-0.0040686429,-0.0032504266,-0.0678675771,-0.0040686429,-0.0057808347,0.0677030385,-2.82377004623413E-006,-0.0057808347,0.0677030385,-2.82377004623413E-006,0.055909209,0.1093840972,0.2318873405,0.055909209,0.1093840972,0.2318873405,-0.0110061597,-0.0105294921,0.329583317,-0.0110061597,-0.0105294921,0.329583317,-0.0114986785,-0.0143561978,0.4560244679,-0.0114986785,-0.0143561978,0.4560244679
,,0.0543337204,-0.1277804673,0.2249009013,0.0543337204,-0.1277804673,0.2249009013,-0.0031730018,-0.0678791925,-0.0040611289,-0.0031730018,-0.0678791925,-0.0040611289,-0.0058037429,0.0677050278,-2.73436307907104E-006,-0.0058037429,0.0677050278,-2.73436307907104E-006,0.0554305725,0.1093886048,0.2317509651,0.0554305725,0.1093886048,0.2317509651,-0.0110921822,-0.010520868,0.3295839131,-0.0110921822,-0.010520868,0.3295839131,-0.0116315782,-0.0143457875,0.456024915,-0.0116315782,-0.0143457875,0.456024915
,,0.0538279265,-0.1277323961,0.224770695,0.0538279265,-0.1277323961,0.224770695,-0.0031002734,-0.067890048,-0.0040537864,-0.0031002734,-0.067890048,-0.0040537864,-0.0058473111,0.0677087829,-2.65613198280334E-006,-0.0058473111,0.0677087829,-2.65613198280334E-006,0.0544772223,0.1094113216,0.2314814925,0.0544772223,0.1094113216,0.2314814925,-0.0111345239,-0.0105167031,0.3295842111,-0.0111345239,-0.0105167031,0.3295842111,-0.0116967522,-0.014340749,0.4560251534,-0.0116967522,-0.014340749,0.4560251534
,,0.0528336093,-0.1276412308,0.2245170474,0.0528336093,-0.1276412308,0.2245170474,-0.0030660264,-0.0678951368,-0.0040502287,-0.0030660264,-0.0678951368,-0.0040502287,-0.0058677644,0.0677105263,-2.56672501564026E-006,-0.0058677644,0.0677105263,-2.56672501564026E-006,0.0540056899,0.1094295904,0.2313492596,0.0540056899,0.1094295904,0.2313492596,-0.0111761875,-0.0105126873,0.3295845091,-0.0111761875,-0.0105126873,0.3295845091,-0.0118232891,-0.0143311229,0.4560255408,-0.0118232891,-0.0143311229,0.4560255408
,,0.0523489043,-0.1275981516,0.2243944556,0.0523489043,-0.1275981516,0.2243944556,-0.0030333726,-0.0678999797,-0.0040468164,-0.0030333726,-0.0678999797,-0.0040468164,-0.0059057618,0.0677138343,-2.38791108131409E-006,-0.0059057618,0.0677138343,-2.38791108131409E-006,0.0530808121,0.1094804406,0.2310917079,0.0530808121,0.1094804406,0.2310917079,-0.0112569667,-0.0105050504,0.3295850456,-0.0112569667,-0.0105050504,0.3295850456,-0.0118841883,-0.0143265687,0.4560257494,-0.0118841883,-0.0143265687,0.4560257494
,,0.0518750437,-0.1275565922,0.2242752016,0.0518750437,-0.1275565922,0.2242752016,-0.0029735086,-0.0679088086,-0.0040403716,-0.0029735086,-0.0679088086,-0.0040403716,-0.0059230742,0.0677153617,-2.298504114151E-006,-0.0059230742,0.0677153617,-2.298504114151E-006,0.052630838,0.1095130667,0.2309672236,0.052630838,0.1095130667,0.2309672236,-0.011295747,-0.0105014555,0.329585284,-0.011295747,-0.0105014555,0.329585284,-0.0120000541,-0.0143180788,0.4560260773,-0.0120000541,-0.0143180788,0.4560260773
,,0.0509678088,-0.1274777055,0.2240485549,0.0509678088,-0.1274777055,0.2240485549,-0.0029466173,-0.0679128096,-0.0040373616,-0.0029466173,-0.0679128096,-0.0040373616,-0.005953901,0.0677180439,-2.01910734176636E-006,-0.005953901,0.0677180439,-2.01910734176636E-006,0.0517640822,0.1095925421,0.2307287753,0.0517640822,0.1095925421,0.2307287753,-0.0113693532,-0.0104949363,0.329585731,-0.0113693532,-0.0104949363,0.329585731,-0.0120545272,-0.0143141802,0.4560261965,-0.0120545272,-0.0143141802,0.4560261965
,,0.0501280837,-0.1274035871,0.2238404751,0.0501280837,-0.1274035871,0.2238404751,-0.0028995606,-0.0679197237,-0.0040319003,-0.0028995606,-0.0679197237,-0.0040319003,-0.0059672524,0.0677191913,-1.97067856788635E-006,-0.0059672524,0.0677191913,-1.97067856788635E-006,0.0513507202,0.1096394062,0.2306155562,0.0513507202,0.1096394062,0.2306155562,-0.0114366226,-0.0104892887,0.3295861483,-0.0114366226,-0.0104892887,0.3295861483,-0.012155354,-0.0143072046,0.4560264945,-0.012155354,-0.0143072046,0.4560264945
,,0.0497387052,-0.1273679584,0.2237444222,0.0497387052,-0.1273679584,0.2237444222,-0.0028624805,-0.0679251999,-0.00402724,-0.0028624805,-0.0679251999,-0.00402724,-0.0059893527,0.067721121,-1.61305069923401E-006,-0.0059893527,0.067721121,-1.61305069923401E-006,0.0502116494,0.1098080948,0.2303044498,0.0502116494,0.1098080948,0.2303044498,-0.0114963092,-0.0104846619,0.3295864761,-0.0114963092,-0.0104846619,0.3295864761,-0.0122437347,-0.0143014342,0.4560266733,-0.0122437347,-0.0143014342,0.4560266733
,,0.0490313508,-0.1272985488,0.2235703319,0.0490313508,-0.1272985488,0.2235703319,-0.0028365501,-0.0679289699,-0.0040236078,-0.0028365501,-0.0679289699,-0.0040236078,-0.0060047046,0.0677224919,-1.34482979774475E-006,-0.0060047046,0.0677224919,-1.34482979774475E-006,0.0498715118,0.1098734438,0.2302115113,0.0498715118,0.1098734438,0.2302115113,-0.0115229059,-0.010482803,0.3295866251,-0.0115229059,-0.010482803,0.3295866251,-0.0122826342,-0.0142990798,0.4560267627,-0.0122826342,-0.0142990798,0.4560267627
