,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
C1,C2,X RArm,Y RArm,Z RArm,X RLeg,Y RLeg,Z RLeg,X LLeg,Y LLeg,Z LLeg,X LArm,Y LArm,Z LArm,X Torso,Y Torso,Z Torso,X Head,Y Head,Z Head
,10,0.1999571025,-0.1323123723,0.4121421278,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.2003425956,0.09725108,0.4309485257,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,11,0.2001773715,-0.1324824393,0.4172449708,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.2003219575,0.0970331132,0.4361482263,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,12,0.2002741992,-0.1326532513,0.422362119,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.2001722902,0.0968154594,0.4413556755,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,13,0.2002468854,-0.1328251213,0.4274892509,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.2000492215,0.0967063904,0.4439608455,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,14,0.2001864463,-0.1329111308,0.4300552905,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1997061074,0.0964891016,0.4491713941,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,15,0.1999715865,-0.1330833584,0.4351894259,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1992332339,0.09627226,0.4543784857,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,16,0.1998174489,-0.1331697106,0.4377565384,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1989481747,0.0961641967,0.4569792747,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,17,0.199631393,-0.1332560629,0.4403229058,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1986310035,0.096056208,0.4595775008,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,18,0.1988859624,-0.1335151792,0.4480122328,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.197899431,0.0958412066,0.4647640288,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,19,0.1985747814,-0.1336017847,0.4505702853,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1965603828,0.095520772,0.4725104868,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,20,0.1978584379,-0.13377437,0.4556755722,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1960495561,0.0954145938,0.4750815332,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
,21,0.1970177293,-0.1339466125,0.4607627988,-0.004492979,-0.0676214248,-0.0052566603,-0.0045199394,0.067619741,2.90572643280029E-007,0.1949327588,0.0952031016,0.4802036583,-0.0105686188,-0.0128880143,0.3288783431,-0.0111269951,-0.017801702,0.4552816451
