X Nao,X MoCap,X Corr
0.0821468234,-0.032501,0.101307088
0.0808914825,-0.035577,0.1014140023
0.0796378478,-0.039114,0.1015348382
0.0783878341,-0.043019,0.1016656351
0.0759059489,-0.047531,0.1018133511
0.0746770799,-0.052695,0.101977923
0.0734580308,-0.058808,0.1021665447
0.0722500831,-0.065897,0.1023768727
0.0710543394,-0.074245,0.1026129761
0.0698718578,-0.083962,0.1028720263
0.0687038451,-0.094343,0.1031300323
0.067550987,-0.106864,0.1034154602
0.0664143562,-0.12183,0.1037196624
0.0641935319,-0.136678,0.1039816916
0.0631109402,-0.154081,0.1042383804
0.0620480217,-0.171868,0.1044444937
0.0610057116,-0.190224,0.1045975904
0.0589856356,-0.208821,0.1046909509
0.0580095127,-0.228074,0.1047221286
0.0570569262,-0.247531,0.1046859634
0.0561287776,-0.266412,0.10458583
0.0543482639,-0.284709,0.1044276737
0.0534974448,-0.302391,0.1042176725
0.0526735708,-0.319498,0.1039610274
0.0518776663,-0.335524,0.1036728905
0.0503717624,-0.350956,0.1033518147
0.0496631227,-0.366075,0.1029957494
0.0489849672,-0.380245,0.1026247439
0.0483376272,-0.393827,0.1022352667
0.0477218889,-0.406328,0.1018474914
0.046587754,-0.417903,0.1014634009
0.0460703298,-0.429278,0.101062491
0.0455869064,-0.439622,0.1006777327
0.0451378115,-0.449198,0.1003044019
0.0443451852,-0.458048,0.0999447231
0.0440026447,-0.46572,0.0996215312
0.0436965413,-0.472584,0.0993234124
0.043427527,-0.478076,0.0990787854
0.1078240722,-0.482624,0.0988721038
0.1094288602,-0.485956,0.0987183236
0.1110394895,-0.488228,0.0986123211
0.1142757237,-0.489927,0.0985324462
0.1159000546,-0.489994,0.0985292858
0.1175276786,-0.488361,0.0986060871
0.1191577762,-0.485734,0.0987286315
0.1207900122,-0.481424,0.0989269982
0.1224234477,-0.475524,0.0991931318
0.1256917268,-0.467561,0.0995424033
0.127325207,-0.457712,0.0999586358
0.1289572865,-0.445951,0.1004328361
0.132215023,-0.431631,0.1009766576
0.1338392496,-0.41612,0.1015241344
0.1372032017,-0.39882,0.1020837544
0.1389190257,-0.380134,0.1026277904
0.1422844231,-0.360782,0.1031250771
0.1439399421,-0.340215,0.1035798175
0.1455797255,-0.319003,0.1039691924
0.2001422048,-0.297838,0.1042771173
0.199139446,-0.275582,0.1045140859
0.1985878348,-0.252752,0.1046646823
0.1973857582,-0.230342,0.1047214158
0.1960539371,-0.207498,0.1046863626
0.1953403205,-0.184696,0.1045578562
0.1945955157,-0.162391,0.1043417516
0.1930137277,-0.140615,0.1040445246
0.1921776533,-0.119388,0.1036727737
0.1913120747,-0.09895,0.1032383291
0.0941245779,-0.079216,0.1027476201
0.0920505375,-0.060735,0.1022246118
0.0910271704,-0.04434,0.1017092614
0.0890137255,-0.029411,0.1011979752
0.0880255848,-0.016449,0.1007215717
0.0860903189,-0.005449,0.1002935964
0.0851444378,0.003337,0.0999361413
0.0842140689,0.009912,0.0996595653
0.0824015886,0.014058,0.0994811708
0.0815203786,0.01677,0.0993628075
