Format Version,1.21,Take Name,PiernaI,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2017-11-09 10.31.32.923 AM,Total Frames in Take,751,Total Exported Frames,189,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Head,Head,Head,RArm,RArm,RArm,RLeg,RLeg,RLeg,LLeg,LLeg,LLeg,Torso,Torso,Torso,LArm,LArm,LArm
,,"8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706F","8392B20CF49E35706F","8392B20CF49E35706F"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
149,4.966667,-0.206496,1.692595,-0.059775,-0.152695,0.834756,-0.345667,-0.098202,0.092572,-0.232718,-0.136897,0.085735,0.191684,-0.191991,1.117583,-0.038878,-0.100055,0.847046,0.242324
150,5.000000,-0.207905,1.693099,-0.044382,-0.155256,0.835209,-0.329243,-0.098253,0.092778,-0.233033,-0.136139,0.085917,0.191554,-0.193198,1.117156,-0.025812,-0.103051,0.847351,0.255923
151,5.033333,-0.209365,1.693431,-0.029551,-0.158005,0.835546,-0.313110,-0.098376,0.092670,-0.232895,-0.135596,0.086041,0.191512,-0.193729,1.116383,-0.014165,-0.105891,0.847737,0.269684
152,5.066667,-0.210923,1.693376,-0.015551,-0.160887,0.835986,-0.297915,-0.098513,0.092668,-0.232816,-0.135203,0.086163,0.191452,-0.194151,1.115894,-0.004143,-0.107859,0.848082,0.283455
153,5.100000,-0.212458,1.692846,-0.002405,-0.163926,0.836495,-0.283635,-0.098639,0.092698,-0.232809,-0.134797,0.086339,0.191356,-0.194357,1.115408,0.004127,-0.109195,0.847966,0.296498
154,5.133333,-0.213812,1.692239,0.009409,-0.166844,0.837398,-0.270872,-0.098772,0.092711,-0.232864,-0.134590,0.086345,0.191201,-0.194657,1.114963,0.010625,-0.109797,0.847138,0.308993
155,5.166667,-0.214766,1.691812,0.019766,-0.169241,0.839157,-0.259927,-0.098915,0.092700,-0.232903,-0.134531,0.086348,0.191167,-0.195099,1.114957,0.015601,-0.109663,0.846341,0.319839
156,5.200000,-0.214770,1.691603,0.028668,-0.170868,0.841325,-0.251131,-0.099106,0.092689,-0.232884,-0.134496,0.086380,0.191116,-0.195724,1.115467,0.019116,-0.109076,0.844793,0.329284
157,5.233333,-0.214127,1.691880,0.035690,-0.171421,0.843530,-0.244186,-0.099297,0.092610,-0.232814,-0.134492,0.086425,0.191057,-0.196584,1.116115,0.021292,-0.108141,0.842847,0.336675
158,5.266667,-0.212565,1.692307,0.040987,-0.171162,0.845273,-0.239306,-0.099425,0.092558,-0.232786,-0.134474,0.086570,0.190981,-0.197633,1.116413,0.022420,-0.107018,0.840446,0.342273
