,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
C1,C2,X RArm,Y RArm,Z RArm,X RLeg,Y RLeg,Z RLeg,X LLeg,Y LLeg,Z LLeg,X LArm,Y LArm,Z LArm,X Torso,Y Torso,Z Torso,X Head,Y Head,Z Head
20,20,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
21,21,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
22,22,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
23,23,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
24,24,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
25,25,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
26,26,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
27,27,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
28,28,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
29,29,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
30,30,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
31,31,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
32,32,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
33,33,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
34,34,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
35,35,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0467953049,0.1152648106,0.2301509082,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
36,36,0.0488455743,-0.1320113689,0.2215615511,-0.0044929553,-0.0676215142,-0.0052566566,-0.0045198333,0.0676197037,2.90572643280029E-007,0.0482739359,0.1164554209,0.2311474383,-0.0105687436,-0.0128880367,0.3288783431,-0.0111271646,-0.0178015456,0.4552816451
